college,division,playername,position,height,season
Adrian College,D3,ALEX COLLINS,DEFENSIVE SPECIALIST/LIBERO,69,2019-2020
Adrian College,D3,JAKE SIMPSON,SETTER,69,2019-2020
Adrian College,D3,JAKE WITT,MIDDLE BLOCKER,76,2019-2020
Adrian College,D3,JARROD SIMMONDS,DEFENSIVE SPECIALIST,71,2019-2020
Adrian College,D3,JOSEPH CAMPANA,SETTER,70,2019-2020
Adrian College,D3,JOSEPH HERRERA,DEFENSIVE SPECIALIST,70,2019-2020
Adrian College,D3,KEVIN CURLEY,OUTSIDE HITTER/LIBERO,73,2019-2020
Adrian College,D3,KOLBY MILLER,OUTSIDE HITTER,71,2019-2020
Adrian College,D3,LUCAS RUSNAK,MIDDLE BLOCKER,74,2019-2020
Adrian College,D3,MASON HOSTETLER,MIDDLE BLOCKER,73,2019-2020
Adrian College,D3,NOAH MARCINKOWSKI,OUTSIDE HITTER,73,2019-2020
Adrian College,D3,PEYTON DOELLING,OUTSIDE HITTER,72,2019-2020
Adrian College,D3,SAMUEL WILLIAMS,DEFENSIVE SPECIALIST/LIBERO,71,2019-2020
Adrian College,D3,TEDRICK GULA,OUTSIDE HITTER/MIDDLE BLOCKER,74,2019-2020
Alderson Broaddus University,D1,CHASE DOYLE,LIBERO,70,2019-2020
Alderson Broaddus University,D1,CONRAD ROSZKOWSKI,RIGHT SIDE,75,2019-2020
Alderson Broaddus University,D1,DUANE DAVIS,OUTSIDE HITTER/MIDDLE BLOCKER,72,2019-2020
Alderson Broaddus University,D1,ERAN SHIFRIS,OUTSIDE HITTER/RIGHT SIDE,74,2019-2020
Alderson Broaddus University,D1,IFEANYI UKACHUKWU,OUTSIDE HITTER,75,2019-2020
Alderson Broaddus University,D1,JOSE RAMIREZ,OUTSIDE HITTER,73,2019-2020
Alderson Broaddus University,D1,NICK MICALE,OUTSIDE HITTER/MIDDLE BLOCKER,69,2019-2020
Alderson Broaddus University,D1,TREVOR FILER,SETTER,75,2019-2020
Alderson Broaddus University,D1,YANKIEL CRUZ RESTO,OUTSIDE HITTER,73,2019-2020
Alvernia University,D3,AARON KUHLMAN,MIDDLE BLOCKER,76,2019-2020
Alvernia University,D3,ANTHONY DADSON,MIDDLE BLOCKER,77,2019-2020
Alvernia University,D3,ANTONIO MORALES,RIGHT SIDE,73,2019-2020
Alvernia University,D3,BRIAN REA,MIDDLE BLOCKER,81,2019-2020
Alvernia University,D3,CALEB WHITEHEAD,OUTSIDE HITTER,73,2019-2020
Alvernia University,D3,COLLIN WELTEROTH,OUTSIDE HITTER,74,2019-2020
Alvernia University,D3,JON DEMETER,LIBERO,71,2019-2020
Alvernia University,D3,JOSH STEWART,OUTSIDE HITTER,74,2019-2020
Alvernia University,D3,LOGAN MCGINLEY,OUTSIDE HITTER,74,2019-2020
Alvernia University,D3,MIKE MONCZEWSKI,SETTER,76,2019-2020
Alvernia University,D3,MITCHELL STERKENBURG,LIBERO,71,2019-2020
Alvernia University,D3,NIKOLAS DECINA,DEFENSIVE SPECIALIST,72,2019-2020
Alvernia University,D3,SPENCER MATTHEWS,RIGHT SIDE,75,2019-2020
Alvernia University,D3,VICTOR DE AVILA,MIDDLE BLOCKER,75,2019-2020
Arcadia University,D3,AARON KNOTTS,DEFENSIVE SPECIALIST/LIBERO,69,2019-2020
Arcadia University,D3,ANGELO GIUFFRIDA,OUTSIDE HITTER/RIGHT SIDE,72,2019-2020
Arcadia University,D3,ANTHONY DEVANTIER,SETTER,76,2019-2020
Arcadia University,D3,AUSTIN BRAAS,MIDDLE BLOCKER,78,2019-2020
Arcadia University,D3,COLLIN NISSLEY,RIGHT SIDE/MIDDLE BLOCKER,79,2019-2020
Arcadia University,D3,DAN PARASKEVOV,OUTSIDE HITTER,78,2019-2020
Arcadia University,D3,DYLAN ZIMMERMAN,OUTSIDE HITTER,75,2019-2020
Arcadia University,D3,EVAN MISAL,OUTSIDE HITTER,73,2019-2020
Arcadia University,D3,JAROD PICHLER,OUTSIDE HITTER/LIBERO,75,2019-2020
Arcadia University,D3,JASON MANLEY,OUTSIDE HITTER/RIGHT SIDE,77,2019-2020
Arcadia University,D3,KEVIN ABRAHAM,MIDDLE BLOCKER,76,2019-2020
Arcadia University,D3,LUKE BUCKSAR,OUTSIDE HITTER,75,2019-2020
Arcadia University,D3,NOEL ABRAHAM,LIBERO,71,2019-2020
Arcadia University,D3,OWEN HEFT,OUTSIDE HITTER/RIGHT SIDE,76,2019-2020
Arcadia University,D3,QUINN BAILY,OUTSIDE HITTER,73,2019-2020
Arcadia University,D3,ROBIE MOCTEZUMA,MIDDLE BLOCKER,80,2019-2020
Arcadia University,D3,TIAGO PORTELA,SETTER,75,2019-2020
Arcadia University,D3,ZAYNE GEORGE,DEFENSIVE SPECIALIST/LIBERO,70,2019-2020
Augustana College,D3,BRETT KLIEGL,DEFENSIVE SPECIALIST,73,2019-2020
Augustana College,D3,BRETT NIEDERER,DEFENSIVE SPECIALIST,72,2019-2020
Augustana College,D3,DILLAN BAUM,OUTSIDE HITTER,72,2019-2020
Augustana College,D3,GARY DODOVICH,OUTSIDE HITTER,73,2019-2020
Augustana College,D3,JAROD HESSE,MIDDLE BLOCKER,76,2019-2020
Augustana College,D3,JASON SZARA,OUTSIDE HITTER,74,2019-2020
Augustana College,D3,JOEY DE MATTEO,DEFENSIVE SPECIALIST,70,2019-2020
Augustana College,D3,JOHN CUNNINGHAM,MIDDLE BLOCKER,79,2019-2020
Augustana College,D3,JORDAN HAWK,DEFENSIVE SPECIALIST,68,2019-2020
Augustana College,D3,JUSTIN MURPHY,OUTSIDE HITTER,72,2019-2020
Augustana College,D3,LUIS ZAVALA,MIDDLE BLOCKER,76,2019-2020
Augustana College,D3,MATTHEW SCHIFERL,DEFENSIVE SPECIALIST,68,2019-2020
Augustana College,D3,RYAN HIRSCHEL,SETTER,70,2019-2020
Augustana College,D3,SANCHIT KHAITAN,SETTER,70,2019-2020
Aurora University,D3,ADAM GEBALA,OUTSIDE HITTER,76,2019-2020
Aurora University,D3,ANTHONY PANIZZI,MIDDLE BLOCKER,77,2019-2020
Aurora University,D3,AUSTIN BAYNER,MIDDLE BLOCKER,75,2019-2020
Aurora University,D3,BRANDON LANGYS,DEFENSIVE SPECIALIST,72,2019-2020
Aurora University,D3,CADE HARRISON,OUTSIDE HITTER,73,2019-2020
Aurora University,D3,CHAD LONGFIELD,MIDDLE BLOCKER,75,2019-2020
Aurora University,D3,COLLIN HARRISON,OUTSIDE HITTER/SETTER,73,2019-2020
Aurora University,D3,DAVID MIECHOWICKI,OUTSIDE HITTER,69,2019-2020
Aurora University,D3,EMMANUEL CHAIDEZ,MIDDLE BLOCKER,75,2019-2020
Aurora University,D3,JACK FISCHER,OUTSIDE HITTER,73,2019-2020
Aurora University,D3,JAMES KARWIN,SETTER,75,2019-2020
Aurora University,D3,JOHN MCCORMACK,MIDDLE BLOCKER,78,2019-2020
Aurora University,D3,JOSH MCKINSTRY,DEFENSIVE SPECIALIST,73,2019-2020
Aurora University,D3,JUSTIN ELLIOTT,OUTSIDE HITTER,73,2019-2020
Aurora University,D3,MGR ALBION SALIHU  FR PLAINFIELD ILL PLAINFIELD CENTRAL,NULL,NULL,2019-2020
Aurora University,D3,THOMAS KOVANIC,OUTSIDE HITTER,80,2019-2020
Aurora University,D3,TIMOTHY BREITER,OUTSIDE HITTER,77,2019-2020
Aurora University,D3,TREY ZOUCHA,DEFENSIVE SPECIALIST,74,2019-2020
Ball State University,D1,BEN CHINNICI,OUTSIDE HITTER,76,2019-2020
Ball State University,D1,BLAKE REARDON,OUTSIDE HITTER,76,2019-2020
Ball State University,D1,BRANDON SHEPHERD,OUTSIDE HITTER,74,2019-2020
Ball State University,D1,BRYCE BEHRENDT,OUTSIDE HITTER,76,2019-2020
Ball State University,D1,COLIN ENSALACO,LIBERO,73,2019-2020
Ball State University,D1,COURTLAND SCHARENBORG,SETTER,76,2019-2020
Ball State University,D1,DAVID FLORES,SETTER,73,2019-2020
Ball State University,D1,FELIX EGHAREVBA,MIDDLE BLOCKER,77,2019-2020
Ball State University,D1,JAKE ROMANO,SETTER,78,2019-2020
Ball State University,D1,KALEB JENNESS,OUTSIDE HITTER,78,2019-2020
Ball State University,D1,MATT SZEWS,OUTSIDE HITTER,80,2019-2020
Ball State University,D1,NATE AMOS,MIDDLE BLOCKER,78,2019-2020
Ball State University,D1,NICK LAVANCHY,LIBERO,70,2019-2020
Ball State University,D1,NICK MARTINSKI,OUTSIDE HITTER,79,2019-2020
Ball State University,D1,QUINN ISAACSON,SETTER,74,2019-2020
Ball State University,D1,RYAN DORGAN,OUTSIDE HITTER,78,2019-2020
Ball State University,D1,SAMMY ADKISSON,LIBERO,69,2019-2020
Ball State University,D1,WIL MCPHILLIPS,MIDDLE BLOCKER,76,2019-2020
Ball State University,D1,WILL HIPPE,MIDDLE BLOCKER,80,2019-2020
Bard College,D3,ANGEL OBERGH,OUTSIDE HITTER,72,2019-2020
Bard College,D3,AZAL KASSEM,DEFENSIVE SPECIALIST,65,2019-2020
Bard College,D3,BRIAN LEE,LIBERO,70,2019-2020
Bard College,D3,COLIN SCHROEDER,LIBERO,68,2019-2020
Bard College,D3,ESTEBAN RIVERA,SETTER,72,2019-2020
Bard College,D3,JOSHUA HAN,MIDDLE BLOCKER,74,2019-2020
Bard College,D3,QUINCY ROSS,MIDDLE BLOCKER,79,2019-2020
Bard College,D3,RADOSLAV SKULAR,MIDDLE BLOCKER,75,2019-2020
Bard College,D3,TRISTAN KOZUL,RIGHT SIDE,73,2019-2020
Barton College,D1,ABSALON WILLIAMS,MIDDLE BLOCKER,76,2019-2020
Barton College,D1,ADRIAN IGLESIAS,OUTSIDE HITTER,77,2019-2020
Barton College,D1,ALEJANDRO HERNANDEZ,OUTSIDE HITTER,74,2019-2020
Barton College,D1,ANGELOS MANDILARIS,RIGHT SIDE,78,2019-2020
Barton College,D1,ARIEL DOWNER,LIBERO,66,2019-2020
Barton College,D1,BEN KASUN,SETTER/LIBERO,75,2019-2020
Barton College,D1,DIMITRIOS KYRIDIS,MIDDLE BLOCKER,80,2019-2020
Barton College,D1,EDWIN MONTARULI,OUTSIDE HITTER/LIBERO,76,2019-2020
Barton College,D1,LEVI MILLER,SETTER,74,2019-2020
Barton College,D1,MOSES KRESCH,SETTER,74,2019-2020
Barton College,D1,NATHAN CHAPARRO,OUTSIDE HITTER,76,2019-2020
Barton College,D1,NICOLO MANCIN,OUTSIDE HITTER,75,2019-2020
Barton College,D1,OSCAR FIORENTINO,SETTER,76,2019-2020
Barton College,D1,TIM WIESE,LIBERO,68,2019-2020
Baruch College,D3,ANDREW TSOROROS,RIGHT SIDE,76,2019-2020
Baruch College,D3,ARTEM ZINKIN,RIGHT SIDE,77,2019-2020
Baruch College,D3,CARLOS RODRIGUEZ,OUTSIDE HITTER/RIGHT SIDE,76,2019-2020
Baruch College,D3,DAVID SIRCHENKO,MIDDLE BLOCKER,75,2019-2020
Baruch College,D3,DEFENG HAN,OUTSIDE HITTER/RIGHT SIDE,73,2019-2020
Baruch College,D3,EDWARD GRINBERG,SETTER,74,2019-2020
Baruch College,D3,EVAN TAKOS,MIDDLE BLOCKER,75,2019-2020
Baruch College,D3,HANBIN LEE,LIBERO,69,2019-2020
Baruch College,D3,JUSTIN ILOULIAN,OUTSIDE HITTER/RIGHT SIDE,74,2019-2020
Baruch College,D3,LEON PETROVITSKY,RIGHT SIDE,77,2019-2020
Baruch College,D3,MENI MUSHEYEV,MIDDLE BLOCKER,75,2019-2020
Baruch College,D3,MICHAEL HIGGINS,MIDDLE BLOCKER,76,2019-2020
Baruch College,D3,QIQIN ZENG,OUTSIDE HITTER,69,2019-2020
Baruch College,D3,RABSANG ANDRUGTSANG,DEFENSIVE SPECIALIST/LIBERO,70,2019-2020
Baruch College,D3,SONAM DORJEE,OUTSIDE HITTER,70,2019-2020
Baruch College,D3,STALLONE SHANKAR,SETTER,72,2019-2020
Baruch College,D3,STEVEN LOPEZ,OUTSIDE HITTER,72,2019-2020
Belmond Abbey College,D1,ANDREW KOHUT,RIGHT SIDE,78,2019-2020
Belmond Abbey College,D1,BRANDON PRZYWARA,DEFENSIVE SPECIALIST/LIBERO,73,2019-2020
Belmond Abbey College,D1,BRENNAN DAVIS,SETTER,72,2019-2020
Belmond Abbey College,D1,BRIAN LONG,MIDDLE BLOCKER,77,2019-2020
Belmond Abbey College,D1,BRYCE SULLIVAN,SETTER,74,2019-2020
Belmond Abbey College,D1,CARTER ECK,OUTSIDE HITTER,75,2019-2020
Belmond Abbey College,D1,CONRAD HILL,LIBERO,66,2019-2020
Belmond Abbey College,D1,DANIEL CERQUA,DEFENSIVE SPECIALIST/LIBERO,69,2019-2020
Belmond Abbey College,D1,GAGE GILLER,OUTSIDE HITTER,79,2019-2020
Belmond Abbey College,D1,JAKE SOMERS,OUTSIDE HITTER,76,2019-2020
Belmond Abbey College,D1,KYLE FERGUSON,MIDDLE BLOCKER,77,2019-2020
Belmond Abbey College,D1,LIAM MAXWELL,OUTSIDE HITTER,77,2019-2020
Belmond Abbey College,D1,MARK TIMMONS,OUTSIDE HITTER,74,2019-2020
Belmond Abbey College,D1,MATTHEW MAXWELL,LIBERO,70,2019-2020
Belmond Abbey College,D1,PAUL BELAK,OUTSIDE HITTER,73,2019-2020
Belmond Abbey College,D1,PIERCE PLIAPOL,OUTSIDE HITTER,74,2019-2020
Belmond Abbey College,D1,RILEY MULKEY,MIDDLE BLOCKER,77,2019-2020
Belmond Abbey College,D1,WILLIAM MORRIS,MIDDLE BLOCKER,77,2019-2020
Benedictine University,D3,ARLIND ROJBA,DEFENSIVE SPECIALIST/LIBERO,70,2019-2020
Benedictine University,D3,CHASE OLSON,MIDDLE BLOCKER,78,2019-2020
Benedictine University,D3,DYLAN SHORE,LIBERO,70,2019-2020
Benedictine University,D3,ELIJAH MEDLOCK,RIGHT SIDE,77,2019-2020
Benedictine University,D3,JACOB GRYGO,RIGHT SIDE/SETTER,77,2019-2020
Benedictine University,D3,JACOB STRANDE,MIDDLE BLOCKER,79,2019-2020
Benedictine University,D3,JOE LOCK,SETTER,72,2019-2020
Benedictine University,D3,JOHN DAVIS,OUTSIDE HITTER,77,2019-2020
Benedictine University,D3,KYLE VASQUEZ,LIBERO,70,2019-2020
Benedictine University,D3,MARCUS GONZALEZ,OUTSIDE HITTER,74,2019-2020
Benedictine University,D3,MARTIN RADOMSKI,OUTSIDE HITTER,70,2019-2020
Benedictine University,D3,MATTHEW MINKIN,OUTSIDE HITTER,76,2019-2020
Benedictine University,D3,MIKE LEGROS,RIGHT SIDE/SETTER,74,2019-2020
Benedictine University,D3,NICK MALAK,OUTSIDE HITTER,79,2019-2020
Benedictine University,D3,PETER ALESSANDRI,MIDDLE BLOCKER,76,2019-2020
Benedictine University,D3,THOMAS SAMARAS,LIBERO,70,2019-2020
Benedictine University,D3,TIM FOLLIARD,SETTER,73,2019-2020
Brooklyn College,D3,ANDRES VARGAS,OUTSIDE HITTER,72,2019-2020
Brooklyn College,D3,BRIAN FOK,SETTER,69,2019-2020
Brooklyn College,D3,CALVIN MULLEN,OUTSIDE HITTER,73,2019-2020
Brooklyn College,D3,DARREN ROACH,OUTSIDE HITTER,66,2019-2020
Brooklyn College,D3,DAVID LI,MIDDLE BLOCKER,75,2019-2020
Brooklyn College,D3,FIDEL MALDONADO JR,MIDDLE BLOCKER,73,2019-2020
Brooklyn College,D3,JASPER DIANGCO,OUTSIDE HITTER,70,2019-2020
Brooklyn College,D3,MICHAEL VALENTIN,SETTER,69,2019-2020
Brooklyn College,D3,UTKU TANRITANIR,OUTSIDE HITTER,72,2019-2020
Cairn University,D3,ANTON DELEON JR,MIDDLE BLOCKER,78,2019-2020
Cairn University,D3,AUSTIN TEA FR,RIGHT SIDE/LIBERO,70,2019-2020
Cairn University,D3,BEN NORTON SR,OUTSIDE HITTER,72,2019-2020
Cairn University,D3,CALEB MYERS SR,OUTSIDE HITTER/RIGHT SIDE/MIDDLE BLOCKER,74,2019-2020
Cairn University,D3,CAMERON CRONK FR,OUTSIDE HITTER,74,2019-2020
Cairn University,D3,COLLIN BENJAMIN JR,MIDDLE BLOCKER,74,2019-2020
Cairn University,D3,DAVE CASSEL SO,RIGHT SIDE,74,2019-2020
Cairn University,D3,ISMAEL SANTANA JR,LIBERO,70,2019-2020
Cairn University,D3,JON SIMPSON SR,SETTER,66,2019-2020
Cairn University,D3,JOSHUA HOAGLAND FR,OUTSIDE HITTER/RIGHT SIDE,75,2019-2020
Cairn University,D3,SAM GABRIELS JR,OUTSIDE HITTER,71,2019-2020
Cairn University,D3,SCOTT BASSILL JR,OUTSIDE HITTER,76,2019-2020
Cairn University,D3,SHEA SCOTT FR,OUTSIDE HITTER/SETTER,73,2019-2020
California Lutheran University,D3,ALEC BENNETT,LIBERO,68,2019-2020
California Lutheran University,D3,ANDREW MCFARLANE,RIGHT SIDE,75,2019-2020
California Lutheran University,D3,ANDREW REINA,OUTSIDE HITTER,77,2019-2020
California Lutheran University,D3,BLAKE ZINGERMAN,SETTER,75,2019-2020
California Lutheran University,D3,CONNOR HINTHORN,OUTSIDE HITTER,74,2019-2020
California Lutheran University,D3,ELI MOORE,LIBERO,69,2019-2020
California Lutheran University,D3,ERIC CHABON,OUTSIDE HITTER,75,2019-2020
California Lutheran University,D3,JACOB CUDIAMAT,SETTER,72,2019-2020
California Lutheran University,D3,JACOB SCHLEIEN,OUTSIDE HITTER,73,2019-2020
California Lutheran University,D3,JONATHAN SILVA,OUTSIDE HITTER,71,2019-2020
California Lutheran University,D3,JUSTIN DIETRICH,MIDDLE BLOCKER,78,2019-2020
California Lutheran University,D3,KELLY JEW,RIGHT SIDE,72,2019-2020
California Lutheran University,D3,MICHAEL ZIELINSKI,MIDDLE BLOCKER,81,2019-2020
California Lutheran University,D3,NICK CHRISTY,MIDDLE BLOCKER,79,2019-2020
California Lutheran University,D3,NOAH NAILOR,RIGHT SIDE,76,2019-2020
California Lutheran University,D3,PATRICK ROWE,OUTSIDE HITTER,75,2019-2020
California Lutheran University,D3,STONE SHARP,LIBERO,70,2019-2020
California Lutheran University,D3,WILLIAM BRENDEL,MIDDLE BLOCKER,80,2019-2020
California State University Northridge,D1,COLE CHEA,MIDDLE BLOCKER,78,2019-2020
California State University Northridge,D1,DANIEL WETTER,MIDDLE BLOCKER,77,2019-2020
California State University Northridge,D1,DOMANIK STRATFORD,OUTSIDE HITTER,77,2019-2020
California State University Northridge,D1,GREG POND,MIDDLE BLOCKER,80,2019-2020
California State University Northridge,D1,GRIFFIN WALTERS,OUTSIDE HITTER,78,2019-2020
California State University Northridge,D1,JAMES MCMILLAN,SETTER,72,2019-2020
California State University Northridge,D1,JANO TELLO,OUTSIDE HITTER,77,2019-2020
California State University Northridge,D1,JOHNNY ANSELMO,LIBERO,72,2019-2020
California State University Northridge,D1,KSAWERY TOMSIA,OUTSIDE HITTER,79,2019-2020
California State University Northridge,D1,KYLE HOBUS,OUTSIDE HITTER,79,2019-2020
California State University Northridge,D1,LUKE KRZMARZICK,RIGHT SIDE,76,2019-2020
California State University Northridge,D1,MACIEJ PTASZYNSKI,OUTSIDE HITTER,78,2019-2020
California State University Northridge,D1,MATT BRITO,MIDDLE BLOCKER,78,2019-2020
California State University Northridge,D1,PAUL RZEPNIEWSKI,MIDDLE BLOCKER,78,2019-2020
California State University Northridge,D1,PHILIP BARKER,MIDDLE BLOCKER,79,2019-2020
California State University Northridge,D1,RYAN DAMM,SETTER,75,2019-2020
California State University Northridge,D1,RYAN DEWEESE,RIGHT SIDE,77,2019-2020
California State University Northridge,D1,SEAN MITCHELL,LIBERO,72,2019-2020
California State University Northridge,D1,STEVEN ROTTER,OUTSIDE HITTER,77,2019-2020
California State University Northridge,D1,TAYLOR ITTNER,SETTER,76,2019-2020
Carthage College,D3,BLAKE ARNOLD,LIBERO,72,2019-2020
Carthage College,D3,BRAEDEN WAUMANS,OUTSIDE HITTER,76,2019-2020
Carthage College,D3,BRYCE THOMAS,RIGHT SIDE,76,2019-2020
Carthage College,D3,CARTER SCHMIDT,RIGHT SIDE,75,2019-2020
Carthage College,D3,CONNER LILLY,OUTSIDE HITTER,76,2019-2020
Carthage College,D3,DANIEL DYNER,RIGHT SIDE,77,2019-2020
Carthage College,D3,ERIC WINTER,MIDDLE BLOCKER,77,2019-2020
Carthage College,D3,JACOB ALLARD,SETTER,75,2019-2020
Carthage College,D3,KYLE COHAN,LIBERO,70,2019-2020
Carthage College,D3,LIAM CARLS,LIBERO,72,2019-2020
Carthage College,D3,MATT SLIVINSKI,OUTSIDE HITTER,75,2019-2020
Carthage College,D3,MIK BRUNOVSKIS,OUTSIDE HITTER,76,2019-2020
Carthage College,D3,MIKE MOTYKA,SETTER,75,2019-2020
Carthage College,D3,NICK COOKINGHAM,SETTER,76,2019-2020
Carthage College,D3,PARKER CONNOLLY,MIDDLE BLOCKER,77,2019-2020
Carthage College,D3,PEYTON WIETER,OUTSIDE HITTER,75,2019-2020
Carthage College,D3,ZACH BULTHUIS,MIDDLE BLOCKER,78,2019-2020
City College of NY,D3,ABDULLAH KHALID,MIDDLE BLOCKER,76,2019-2020
City College of NY,D3,ALEX ZHEN,MIDDLE BLOCKER,72,2019-2020
City College of NY,D3,ANDREW CHAN,SETTER,67,2019-2020
City College of NY,D3,CARLOS MALDONADO MADRID,OUTSIDE HITTER,72,2019-2020
City College of NY,D3,ELIJAH PARKS,OUTSIDE HITTER,69,2019-2020
City College of NY,D3,JAVIER LAZO,OUTSIDE HITTER,71,2019-2020
City College of NY,D3,JEROME GALAM,SETTER,69,2019-2020
City College of NY,D3,JONATHAN LIAO,LIBERO,65,2019-2020
City College of NY,D3,OMAR DERVISEVIC,OUTSIDE HITTER/MIDDLE BLOCKER,72,2019-2020
City College of NY,D3,STORMER HORTON,MIDDLE BLOCKER,76,2019-2020
City College of NY,D3,TENZIN SHERPA,SETTER/DEFENSIVE SPECIALIST,64,2019-2020
City College of NY,D3,VUKASIN BOZIC,OUTSIDE HITTER,70,2019-2020
Colby-Sawyer College,D3,NAJ GNIESKI,SETTER/LIBERO,71,2019-2020
Colby-Sawyer College,D3,NANDREW KOVACS,RIGHT SIDE,78,2019-2020
Colby-Sawyer College,D3,NERIC MILLER,OUTSIDE HITTER/RIGHT SIDE,72,2019-2020
Colby-Sawyer College,D3,NGIOVANI DOS REIS,OUTSIDE HITTER,70,2019-2020
Colby-Sawyer College,D3,NMICHAEL QUEEN,MIDDLE BLOCKER,76,2019-2020
Colby-Sawyer College,D3,NMIKEY GUZMAN,MIDDLE BLOCKER,73,2019-2020
Colby-Sawyer College,D3,NNATE TREVINO,OUTSIDE HITTER/MIDDLE BLOCKER,76,2019-2020
Colby-Sawyer College,D3,NORLANDO PLAGATA,UTILITY,68,2019-2020
Colby-Sawyer College,D3,NPATRICK COFFEY,MIDDLE BLOCKER,74,2019-2020
Colby-Sawyer College,D3,NPHU NGO,DEFENSIVE SPECIALIST,70,2019-2020
College of Mount Saint Vincent,D3,BRENDAN RYAN,LIBERO,70,2019-2020
College of Mount Saint Vincent,D3,CHRISTIAN SANTIAGO,OUTSIDE HITTER/MIDDLE BLOCKER,71,2019-2020
College of Mount Saint Vincent,D3,DANYLO SZKAFAROWSKY,OUTSIDE HITTER,71,2019-2020
College of Mount Saint Vincent,D3,FELIX PAULINO,OUTSIDE HITTER/LIBERO,69,2019-2020
College of Mount Saint Vincent,D3,JEREMY GONZALEZ,RIGHT SIDE,67,2019-2020
College of Mount Saint Vincent,D3,JOSE ESTRELLA,MIDDLE BLOCKER,76,2019-2020
College of Mount Saint Vincent,D3,MARK MOFUS,MIDDLE BLOCKER,75,2019-2020
College of Mount Saint Vincent,D3,MARK NILAJ,OUTSIDE HITTER,73,2019-2020
College of Mount Saint Vincent,D3,MIGUEL LOSA,SETTER,73,2019-2020
College of Mount Saint Vincent,D3,PADELIS ASTRINIDIS,RIGHT SIDE/SETTER,75,2019-2020
College of Mount Saint Vincent,D3,SAMUEL MARTINEZ,MIDDLE BLOCKER,77,2019-2020
College of Mount Saint Vincent,D3,TERENCE STREHLE,OUTSIDE HITTER,74,2019-2020
College of Saint Elizabeth,D3,ALEJANDRO RODRIGUEZ,SETTER/DEFENSIVE SPECIALIST,70,2019-2020
College of Saint Elizabeth,D3,CHARLES PAMPLIEGA,SETTER,71,2019-2020
College of Saint Elizabeth,D3,CHINO SINGALIVO,SETTER/LIBERO,68,2019-2020
College of Saint Elizabeth,D3,CJ KOSKULITZ,SETTER/DEFENSIVE SPECIALIST,68,2019-2020
College of Saint Elizabeth,D3,DANIEL CHAVEZ,OUTSIDE HITTER/LIBERO,74,2019-2020
College of Saint Elizabeth,D3,FRANK ROSSI JR,OUTSIDE HITTER,73,2019-2020
College of Saint Elizabeth,D3,GREG BEAUBRUN,OUTSIDE HITTER,74,2019-2020
College of Saint Elizabeth,D3,JAMES BONILLA,RIGHT SIDE,72,2019-2020
College of Saint Elizabeth,D3,JAROD CROWE,MIDDLE BLOCKER,70,2019-2020
College of Saint Elizabeth,D3,JOSEPH CECILIANO,OUTSIDE HITTER,72,2019-2020
College of Saint Elizabeth,D3,JOSEPHANGELO CALAYAG,SETTER/DEFENSIVE SPECIALIST,68,2019-2020
College of Saint Elizabeth,D3,JOSH RAMOS,RIGHT SIDE,75,2019-2020
College of Saint Elizabeth,D3,KODI PETERS,OUTSIDE HITTER,73,2019-2020
College of Saint Elizabeth,D3,YAMERE EDWARDS,OUTSIDE HITTER,71,2019-2020
Concordia University Chicago,D3,BRANDON STIRN,OUTSIDE HITTER/SETTER,74,2019-2020
Concordia University Chicago,D3,BRIAN PEREZ,OUTSIDE HITTER/LIBERO,72,2019-2020
Concordia University Chicago,D3,CHRISTOPHER LIVESAY,LIBERO,72,2019-2020
Concordia University Chicago,D3,ERICKBERTO PEREZ,MIDDLE BLOCKER,75,2019-2020
Concordia University Chicago,D3,JACOB DIX,LIBERO,68,2019-2020
Concordia University Chicago,D3,LUKE VOZENILEK,OUTSIDE HITTER,78,2019-2020
Concordia University Chicago,D3,MATTHEW GEISER,SETTER,76,2019-2020
Concordia University Chicago,D3,MATTHEW LAMS,RIGHT SIDE,72,2019-2020
Concordia University Chicago,D3,RICARDO RUIZ,MIDDLE BLOCKER,76,2019-2020
Concordia University Chicago,D3,RYAN FELBINGER,MIDDLE BLOCKER,79,2019-2020
Concordia University Chicago,D3,SCOTT ENGLER,MIDDLE BLOCKER,74,2019-2020
Concordia University Chicago,D3,SKYLAR VERSENDAAL,RIGHT SIDE,76,2019-2020
Concordia University Chicago,D3,TRENT WEBER,SETTER/LIBERO,72,2019-2020
Concordia University Chicago,D3,TYLER HOLUBEK,RIGHT SIDE,74,2019-2020
Concordia University Chicago,D3,VIRGILIO RODRIGUEZ,OUTSIDE HITTER/SETTER,73,2019-2020
Concordia University Irvine,D1,ADDISON ENRIQUES,LIBERO,70,2019-2020
Concordia University Irvine,D1,BLAKE OMARTIAN,LIBERO,71,2019-2020
Concordia University Irvine,D1,CADEN PERKINS,OUTSIDE HITTER/RIGHT SIDE,80,2019-2020
Concordia University Irvine,D1,CHRISTIAN OVIEDO,SETTER,69,2019-2020
Concordia University Irvine,D1,DARCY TAIG,OUTSIDE HITTER/RIGHT SIDE,78,2019-2020
Concordia University Irvine,D1,ERIK BOISVERT,OUTSIDE HITTER,71,2019-2020
Concordia University Irvine,D1,GIL HEROLD,MIDDLE BLOCKER,78,2019-2020
Concordia University Irvine,D1,GRIFFIN BOOK,SETTER,77,2019-2020
Concordia University Irvine,D1,JONATHAN CARLSON,OUTSIDE HITTER,75,2019-2020
Concordia University Irvine,D1,JORDAN HOPPE,OUTSIDE HITTER,76,2019-2020
